Posizione,Nome Giocatore,Rating ELO
1,Vladislav Ursu,1520
2,Ibrahim Gunduz,1349
3,Andrew Baggaley,1302
4,Petr David,1299
5,Michal Murawski,1285
6,Tomasz Kotowski,1260
7,Konrad Kulpa,1260
8,Antoni Witkowski,1252
9,Robert Floras,1251
10,Mateusz Golebiowski,1248
11,Jakub Folwarski,1238
12,Marcin Jadczyk,1237
13,Michal Bankosz,1234
14,Martin Olejnik,1234
15,Patryk Chojnowski,1230
16,Piotr Cyrnek,1219
17,Jakub Kosowski,1217
18,Daniel Bak,1217
19,Grzegorz Felkel,1211
20,Patryk Zatowka,1201
21,Josef Braun,1197
22,Giorgos Konstantinopoulos,1194
23,Damian Wederlich,1193
24,Artur Grela,1192
25,Slawomir Dosz,1179
26,Kacper Petas,1174
27,Jan Zandecki,1173
28,Adam Dosz,1165
29,Tomasz Lewandowski,1162
30,Patrik Klos,1160
31,Michal Benes,1158
32,Michal Blinka,1157
33,Grzegorz Adamiak,1151
34,Szymon Kolasa,1143
35,Jakub Perek,1139
36,Lukasz Sokolowski,1139
37,Adrian Wiecek,1137
38,Jiri Vrablik,1135
39,Piotr Chodorski,1133
40,Maksymilian Miastowski,1128
41,Daniel Gorak,1126
42,Krystian Kolodziej,1125
43,Miroslav Sklensky,1120
44,Jan Urbanek,1117
45,Amirreza Abbasi,1114
46,Jiri Martinko,1104
47,Maciej Nowalinski,1100
48,Jaroslaw Tomicki,1098
49,Filip Szymanski,1096
50,Daniel Lis,1093
51,Michal Gawlas,1093
52,Milosz Przybylik,1090
53,Michal Krzyzanowski,1089
54,Michal Malachowski,1087
55,Krzysztof Wloczko,1084
56,Tomas Martinko,1076
57,Lukasz Nadolski,1072
58,Damian Wojdyla,1069
59,Jakub Seibert,1067
60,Ronit Bhanja,1065
61,Adam Dudzicz,1062
62,Artur Daniel,1060
63,Jakub Kwapis,1056
64,Szymon Sporek,1054
65,Dawid Michna,1051
66,Patryk Dziuba,1051
67,Karol Strowski,1049
68,Nuchchart Sitisak,1048
69,Karol Wisniewski,1047
70,Maciej Domin,1045
71,Maciej Podsiadlo,1035
72,Adrian Spychala,1034
73,Alan Kulczycki,1031
74,Jakub Maslowski,1030
75,Krzysztof Kapik,1029
76,Szymon Seroka,1026
77,Michal Olbrycht,1026
78,Jakub Stecyszyn,1025
79,Pawel Koziel,1024
80,Bartosz Such,1021
81,Kacper Glazowski,1019
82,Patryk Lewandowski,1019
83,Lukasz Jarocki,1015
84,Frantisek Krcil,1011
85,Kamil Nalepa,1011
86,David Marek,1009
87,Marcin Litwiniuk,1006
88,Igor Misztal,998
89,Tomasz Filbrandt,995
90,Filip Mlynarski,993
91,Bartosz Czerwinski,989
92,Marcin Piotrowski,986
93,Jr Milosz Sawczak,983
94,Jakub Chmielowski,980
95,Marcin Woskowicz,979
96,Szymon Twardowski,971
97,Lukasz Kapron,969
98,Kamil Kurowski,960
99,Arkadiusz Zuk,957
100,Marcin Balcerzak,955
101,Grzegorz Poliniewicz,954
102,Mateusz Misiak,947
103,Patryk Jendrzejewski,938
104,Krzysztof Kaczmarek,936
105,Kacper Szurlej,936
106,Mateusz Rutkowski,935
107,Damian Korczak,928
108,Konrad Staszczyk,925
109,Piotr Chlodnicki,918
110,Dawid Kosmal,917
111,Przemyslaw Perzynski,914
112,Simon Belik,913
113,Jakub Miszkurka,912
114,Mikolaj Szalinski,910
115,Jakub Witkowski,910
116,Michal Wandachowicz,909
117,Michal Galas,908
118,Szymon Brud,906
119,Ondrej Bajger,905
120,Lukasz Pietraszko,903
121,Marcin Marchlewski,901
122,Mateusz Czernik,900
123,Aleksander Lilien,893
124,Maciej Makajew,892
125,Tadeusz Piotrowski,891
126,Patryk Bielecki,887
127,Damian Wasilewski,886
128,Mateusz Ufnal,884
129,Radoslaw Chrzescian,881
130,Jakub Krawczyk,872
