match_id,date,player_1,player_2,player_1_sets_won,player_2_sets_won,winner,total_sets,set_1_player_1,set_1_player_2,set_2_player_1,set_2_player_2,set_3_player_1,set_3_player_2,set_4_player_1,set_4_player_2,set_5_player_1,set_5_player_2
1,2025-12-19,Maciej Makajew,Krzysztof Kotyl,3,1,Maciej Makajew,4,7.0,11.0,11.0,9.0,11.0,7.0,11.0,9.0,,
2,2025-12-19,Michal Krzyzanowski,Krystian Kolodziej,1,3,Krystian Kolodziej,4,11.0,7.0,7.0,11.0,9.0,11.0,10.0,12.0,,
3,2025-12-19,Jakub Witkowski,Krzysztof Kotyl,3,1,Jakub Witkowski,4,11.0,9.0,12.0,14.0,14.0,12.0,11.0,6.0,,
4,2025-12-19,Michal Oracz,Jakub Nowak,1,3,Jakub Nowak,4,8.0,11.0,8.0,11.0,11.0,8.0,7.0,11.0,,
5,2025-12-19,Michal Natkaniec,"Wozniczka, Marcin",2,3,"Wozniczka, Marcin",5,11.0,13.0,11.0,6.0,11.0,4.0,7.0,11.0,5.0,11.0
6,2025-12-19,Piotr Staniszewski,Dawid Kotwica,0,3,Dawid Kotwica,3,5.0,11.0,2.0,11.0,6.0,11.0,,,,
7,2025-12-19,"Marchlewski, Marcin",Krzysztof Niemiec,3,2,"Marchlewski, Marcin",5,10.0,12.0,11.0,4.0,9.0,11.0,11.0,7.0,11.0,7.0
8,2025-12-19,Piotr Szafranek,Wojciech Gluszek,3,0,Piotr Szafranek,3,12.0,10.0,11.0,8.0,11.0,7.0,,,,
9,2025-12-19,Tomasz Wrzalik,Roman Wiza,3,1,Tomasz Wrzalik,4,9.0,11.0,11.0,7.0,11.0,8.0,11.0,6.0,,
10,2025-12-19,Waldemar Glanowski,"Kubiak, Artur",3,0,Waldemar Glanowski,3,11.0,5.0,11.0,5.0,11.0,8.0,,,,
11,2025-12-19,Bartlomiej Wisniewski,Mikolaj Lukaszewski,1,3,Mikolaj Lukaszewski,4,11.0,6.0,4.0,11.0,6.0,11.0,18.0,20.0,,
12,2025-12-19,Krzysztof Marcinowski,Karol Strowski,0,3,Karol Strowski,3,11.0,13.0,6.0,11.0,8.0,11.0,,,,
13,2025-12-19,"Wozniczka, Marcin","Nocun, Zbigniew",3,1,"Wozniczka, Marcin",4,10.0,12.0,11.0,9.0,11.0,6.0,11.0,5.0,,
14,2025-12-19,Krzysztof Juszczyk,Piotr Przewlocki,2,3,Piotr Przewlocki,5,11.0,8.0,11.0,9.0,10.0,12.0,5.0,11.0,10.0,12.0
15,2025-12-19,Krzysztof Juszczyk,Michal Oracz,0,3,Michal Oracz,3,8.0,11.0,4.0,11.0,10.0,12.0,,,,
