match_id,date,player_1,player_2,player_1_sets_won,player_2_sets_won,winner,total_sets,set_1_player_1,set_1_player_2,set_2_player_1,set_2_player_2,set_3_player_1,set_3_player_2,set_4_player_1,set_4_player_2,set_5_player_1,set_5_player_2,player_1_clean,player_2_clean,player_1_elo,player_2_elo,elo_diff,p1_win_rate_last5,p2_win_rate_last5,p1_head_to_head_wins,p2_head_to_head_wins,p1_head_to_head_win_ratio,p1_streak,p2_streak,p1_form_volatility,p2_form_volatility,player_1_wins,elo_difference_category
1,2025-12-19,Maciej Makajew,Krzysztof Kotyl,3,1,Maciej Makajew,4,7.0,11.0,11.0,9.0,11.0,7.0,11.0,9.0,,,Maciej Makajew,Krzysztof Kotyl,892.0,738.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,100/200
2,2025-12-19,Michal Krzyzanowski,Krystian Kolodziej,1,3,Krystian Kolodziej,4,11.0,7.0,7.0,11.0,9.0,11.0,10.0,12.0,,,Michal Krzyzanowski,Krystian Kolodziej,1089.0,1125.0,-36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-50/0
3,2025-12-19,Jakub Witkowski,Krzysztof Kotyl,3,1,Jakub Witkowski,4,11.0,9.0,12.0,14.0,14.0,12.0,11.0,6.0,,,Jakub Witkowski,Krzysztof Kotyl,910.0,738.0,172.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1,100/200
4,2025-12-19,Michal Oracz,Jakub Nowak,1,3,Jakub Nowak,4,8.0,11.0,8.0,11.0,11.0,8.0,7.0,11.0,,,Michal Oracz,Jakub Nowak,591.0,528.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,50/100
6,2025-12-19,Piotr Staniszewski,Dawid Kotwica,0,3,Dawid Kotwica,3,5.0,11.0,2.0,11.0,6.0,11.0,,,,,Piotr Staniszewski,Dawid Kotwica,753.0,784.0,-31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-50/0
8,2025-12-19,Piotr Szafranek,Wojciech Gluszek,3,0,Piotr Szafranek,3,12.0,10.0,11.0,8.0,11.0,7.0,,,,,Piotr Szafranek,Wojciech Gluszek,872.0,745.0,127.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,100/200
9,2025-12-19,Tomasz Wrzalik,Roman Wiza,3,1,Tomasz Wrzalik,4,9.0,11.0,11.0,7.0,11.0,8.0,11.0,6.0,,,Tomasz Wrzalik,Roman Wiza,560.0,475.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,50/100
11,2025-12-19,Bartlomiej Wisniewski,Mikolaj Lukaszewski,1,3,Mikolaj Lukaszewski,4,11.0,6.0,4.0,11.0,6.0,11.0,18.0,20.0,,,Bartlomiej Wisniewski,Mikolaj Lukaszewski,746.0,716.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0/50
12,2025-12-19,Krzysztof Marcinowski,Karol Strowski,0,3,Karol Strowski,3,11.0,13.0,6.0,11.0,8.0,11.0,,,,,Krzysztof Marcinowski,Karol Strowski,860.0,1049.0,-189.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-200/-100
14,2025-12-19,Krzysztof Juszczyk,Piotr Przewlocki,2,3,Piotr Przewlocki,5,11.0,8.0,11.0,9.0,10.0,12.0,5.0,11.0,10.0,12.0,Krzysztof Juszczyk,Piotr Przewlocki,608.0,604.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0/50
15,2025-12-19,Krzysztof Juszczyk,Michal Oracz,0,3,Michal Oracz,3,8.0,11.0,4.0,11.0,10.0,12.0,,,,,Krzysztof Juszczyk,Michal Oracz,608.0,591.0,17.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0,0/50
16,2025-12-19,Krzysztof Niemiec,Michal Krzyzanowski,0,3,Michal Krzyzanowski,3,4.0,11.0,6.0,11.0,6.0,11.0,,,,,Krzysztof Niemiec,Michal Krzyzanowski,813.0,1089.0,-276.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0,<-200
17,2025-12-19,Wojciech Gluszek,Jakub Witkowski,2,3,Jakub Witkowski,5,11.0,5.0,7.0,11.0,15.0,13.0,10.0,12.0,8.0,11.0,Wojciech Gluszek,Jakub Witkowski,745.0,910.0,-165.0,0.0,1.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0,-200/-100
19,2025-12-19,Roman Wiza,Piotr Przewlocki,3,2,Roman Wiza,5,11.0,8.0,4.0,11.0,11.0,7.0,6.0,11.0,11.0,7.0,Roman Wiza,Piotr Przewlocki,475.0,604.0,-129.0,0.0,1.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,1,-200/-100
20,2025-12-19,Mikolaj Lukaszewski,Dawid Kotwica,1,3,Dawid Kotwica,4,10.0,12.0,11.0,6.0,6.0,11.0,11.0,13.0,,,Mikolaj Lukaszewski,Dawid Kotwica,716.0,784.0,-68.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,-100/-50
22,2025-12-19,Piotr Szafranek,Maciej Makajew,0,3,Maciej Makajew,3,5.0,11.0,7.0,11.0,11.0,13.0,,,,,Piotr Szafranek,Maciej Makajew,872.0,892.0,-20.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,-50/0
23,2025-12-19,Waldemar Glanowski,Pawel Chojnacki,3,1,Waldemar Glanowski,4,11.0,2.0,6.0,11.0,11.0,9.0,11.0,3.0,,,Waldemar Glanowski,Pawel Chojnacki,744.0,527.0,217.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,>200
24,2025-12-19,Piotr Staniszewski,Michal Wojewodka,3,1,Piotr Staniszewski,4,11.0,7.0,6.0,11.0,11.0,8.0,11.0,9.0,,,Piotr Staniszewski,Michal Wojewodka,753.0,695.0,58.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1,50/100
